Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,126957494.4,165258093.9,244129088.0,306033848.4,355172413.8,372010119.6,451603325.4,590376720.6,819877300.6,1060923829.0,1073861599.0,1014907255.0,1172258182.0,1240796365.0,1114764007.0,1392634772.0,1965274882.0,2644536804.0,3083800685.0,3790567052.0,3942792837.0,4146513722.0,4160086253.0,4259330999.0,4730611067.0,4847752843.0,5020214747.0,4790458837.0,5484257417.0,5788329609.0,5489608300.0,5438857107.0,7511582173.0,8957467707.0,9931134941.0,10126940513.0,10939053365.0,10945070442.0,10267133178.0,12786654366.0,15351972230.0,16067155187.0,14901750765.0,16250750259.0,14420604206.0,15646316818.0,17405538618.0,18616018903.0
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569913.0,15236854859.0,19926293839.0,23021477292.0,21211892260.0,21790035117.0,27062716578.0,30591834054.0,33875881876.0,37458898244.0,42327600098.0,49204456700.0,58539008786.0,79279057731.0,105136000000.0,123709000000.0,152678000000.0,176171000000.0,200801000000.0,224969000000.0,235025000000.0,263561000000.0,281682000000.0,203305000000.0,209024000000.0,222943000000.0,268137000000.0,294084000000.0,330397000000.0,425595000000.0,461952000000.0,602860000000.0,400599000000.0,437799000000.0,558112000000.0,769305000000.0,850426000000.0,883200000000.0,863723000000.0,599389000000.0,655421000000.0,559372000000.0,507962000000.0,558320000000.0,669317000000.0,891630000000.0,1107640000000.0,1397080000000.0,1695820000000.0,1667020000000.0,2208870000000.0,2616200000000.0,2465190000000.0,2472810000000.0,2455990000000.0,1802210000000.0,1795700000000.0,2062830000000.0,1885480000000.0
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442817.2,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279.0,578595584.0,674773821.2,751133642.6,939972703.5,976547572.2,1131225279.0,1475584037.0,1748480982.0,1928720390.0,1775842680.0,1754450379.0,1600278756.0,1459880353.0,1552493414.0,2036303381.0,2369835439.0,2616040646.0,2615588546.0,3101301781.0,3135045684.0,2240264712.0,2332018011.0,1895290965.0,2379518099.0,2586550747.0,2447669404.0,2804902724.0,2993753187.0,2628920056.0,2812845514.0,3205592290.0,4205691222.0,4838551100.0,5462709498.0,5816310158.0,6771277871.0,8369637065.0,8369175126.0,8979966766.0,10724063458.0,11166063467.0,11947176342.0,12377391463.0,10419303761.0,10867024152.0,12330338343.0,14124775069.0
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994963.0,165444571.4,178297142.9,183200000.0,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222.0,1082926304.0,987143931.2,1149979286.0,1201725497.0,1131466494.0,1082403219.0,1113924130.0,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046.0,1273375020.0,1356199365.0,1611835902.0,1781455092.0,2032135247.0,2235820868.0,2333308099.0,2451625333.0,2705783272.0,3104394858.0,2959640987.0,3172292379.0,3036931818.0
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,618740988.0,657597382.8,699373701.2,723624365.3,782384527.8,814139855.8,853268771.1,934079050.3,1053077155.0,1152418515.0,1160002261.0,1233991075.0,1430951332.0,1758727395.0,2255496995.0,2752771044.0,3076592431.0,3366368665.0,4409920644.0,5811444661.0,6740756569.0,7636345827.0,7322914570.0,7381854747.0,7801858825.0,8148223604.0,10621158533.0,12302471429.0,12493286762.0,11140055364.0,11151578051.0,12434370005.0,11396310990.0,15498179313.0,10600157684.0,9643953175.0,10513387442.0,10833497458.0,10612847429.0,11198378749.0,10083937740.0,10371327756.0,11579343088.0,14548845765.0,17430933517.0,17944084201.0,19356046328.0,22365265026.0,26409781215.0,26017925552.0,26143818510.0,29337006833.0,29104437355.0,32348149947.0,34942948737.0,30916218544.0,32621535419.0,34922782311.0,38675205293.0
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40461721693.0,40934952064.0,42227447632.0,45029988561.0,49377522897.0,54515179581.0,61088384037.0,65668655501.0,71829810520.0,79148411662.0,87896095224.0,99271961478.0,113083000000.0,131322000000.0,160409000000.0,173834000000.0,206576000000.0,211612000000.0,218633000000.0,243072000000.0,273854000000.0,306215000000.0,313507000000.0,340548000000.0,355373000000.0,364756000000.0,377438000000.0,431317000000.0,507354000000.0,565056000000.0,593930000000.0,610328000000.0,592388000000.0,577171000000.0,578139000000.0,604032000000.0,628546000000.0,652824000000.0,631813000000.0,676084000000.0,742295000000.0,736380000000.0,757951000000.0,892382000000.0,1023200000000.0,1169360000000.0,1315420000000.0,1464980000000.0,1549130000000.0,1371150000000.0,1613540000000.0,1789140000000.0,1823970000000.0,1842020000000.0,1801480000000.0,1552900000000.0,1526710000000.0,1646870000000.0,1713340000000.0
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.9,123134584.5,124482748.9,129379097.9,142025069.5,150574816.3,157930041.9,163820538.9,191767437.0,188039191.3,189106554.5,201450768.4,230317908.0,271183061.4,281398668.2,378660016.3,451152450.0,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026.0,1200991826.0,1264899368.0,1233930277.0,1440711396.0,1377375031.0,1411917558.0,1278781167.0,851174350.6,1115389732.0,1007791186.0,937741468.0,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799.0,1270080251.0,1337362392.0,1460561215.0,1697565949.0,1985240986.0,2059094048.0,2140503193.0,2434792413.0,2510270268.0,1691063477.0,1892292912.0,1695143880.0,1823779165.0,2067230996.0,2219894702.0
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,313582727.6,333975336.6,357635713.9,371767002.7,392247517.6,416926303.0,432794922.5,449826323.0,453980096.7,471635620.9,469266736.6,501866730.7,585427545.7,647199482.8,652532796.1,864602103.3,866044961.0,935360466.4,1113920123.0,1004316495.0,1033002402.0,876937559.7,834369860.4,832415806.0,919103735.3,1033069710.0,1067828247.0,1163426851.0,1482597299.0,1433686310.0,1738605558.0,1877138042.0,1881847677.0,1463251055.0,1179837955.0,1445919970.0,1607345450.0,1544689503.0,1744794457.0,1534673583.0,1385058162.0,1709347793.0,1987622279.0,2736666516.0,4414929220.0,6646663561.0,7422102656.0,8638711443.0,10351932604.0,9253484108.0,10657705536.0,12156380425.0,12368071039.0,12949854263.0,13922223234.0,10945989472.0,10090922857.0,9975692095.0,11273115239.0
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4110000000.0,4609727273.0,5416272727.0,5668187500.0,5982347826.0,6026593750.0,7072641026.0,7013196078.0,7167086957.0,8377093023.0,9126309735.0,10884114754.0,11853817308.0,16836261173.0,16210404184.0,7622217352.0,10341925249.0,13962893422.0,15989933708.0,21803696985.0,29036709872.0,34509878044.0,25325893206.0,20355959237.0,19622527480.0,17702885394.0,18891048819.0,22255407685.0,26040229793.0,29885685143.0,33113887818.0,37834793730.0,45964327559.0,49297773130.0,57008425296.0,73447063319.0,78039572222.0,84952360922.0,81577430181.0,75173794497.0,77860932152.0,70979923960.0,69736811435.0,75643459840.0,99210392858.0,122965000000.0,154788000000.0,173606000000.0,179638000000.0,172389000000.0,218538000000.0,252252000000.0,267122000000.0,278384000000.0,260542000000.0,243919000000.0,250340000000.0,277746000000.0,298231000000.0
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625.0,50056868958.0,47209359006.0,50706799903.0,59708343489.0,70436266147.0,76720285970.0,72881631327.0,70846535056.0,79705906247.0,92602973434.0,99800958648.0,113688000000.0,138544000000.0,144182000000.0,163432000000.0,153940000000.0,174938000000.0,149541000000.0,178281000000.0,191149000000.0,195866000000.0,205090000000.0,230687000000.0,259947000000.0,309488000000.0,300758000000.0,272973000000.0,312354000000.0,347768000000.0,360858000000.0,383373000000.0,426916000000.0,444731000000.0,564325000000.0,734548000000.0,863747000000.0,961604000000.0,1029040000000.0,1094000000000.0,1211350000000.0,1339400000000.0,1470550000000.0,1660290000000.0,1955350000000.0,2285970000000.0,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10438500000000.0,11015500000000.0,11137900000000.0,12143500000000.0,13608200000000.0
